GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
0a8085cd-f452-4c64-9c03-346497840b43	chr1	61735	121741181	4	2	2
0a8085cd-f452-4c64-9c03-346497840b43	chr1	143285278	248930189	3	2	1
0a8085cd-f452-4c64-9c03-346497840b43	chr2	12784	194715760	3	2	1
0a8085cd-f452-4c64-9c03-346497840b43	chr2	194716498	198076206	5	3	2
0a8085cd-f452-4c64-9c03-346497840b43	chr2	198076716	242147305	2	2	0
0a8085cd-f452-4c64-9c03-346497840b43	chr3	18667	60072240	3	2	1
0a8085cd-f452-4c64-9c03-346497840b43	chr3	60073884	60414747	2	2	0
0a8085cd-f452-4c64-9c03-346497840b43	chr3	60414988	60448107	0	0	0
0a8085cd-f452-4c64-9c03-346497840b43	chr3	60448389	60624851	1	1	0
0a8085cd-f452-4c64-9c03-346497840b43	chr3	60625583	67065197	3	2	1
0a8085cd-f452-4c64-9c03-346497840b43	chr3	67065216	73244375	5	4	1
0a8085cd-f452-4c64-9c03-346497840b43	chr3	73245479	198169247	3	2	1
0a8085cd-f452-4c64-9c03-346497840b43	chr4	12281	20536929	6	3	3
0a8085cd-f452-4c64-9c03-346497840b43	chr4	20540862	47469126	4	2	2
0a8085cd-f452-4c64-9c03-346497840b43	chr4	47469580	55910958	5	3	2
0a8085cd-f452-4c64-9c03-346497840b43	chr4	55911064	190106768	3	2	1
0a8085cd-f452-4c64-9c03-346497840b43	chr5	15532	25232941	8	4	4
0a8085cd-f452-4c64-9c03-346497840b43	chr5	25233596	50136997	7	5	2
0a8085cd-f452-4c64-9c03-346497840b43	chr5	50146124	181363319	2	2	0
0a8085cd-f452-4c64-9c03-346497840b43	chr6	149661	42944851	5	5	0
0a8085cd-f452-4c64-9c03-346497840b43	chr6	42948079	61524628	5	3	2
0a8085cd-f452-4c64-9c03-346497840b43	chr6	61524630	170741917	2	2	0
0a8085cd-f452-4c64-9c03-346497840b43	chr7	43259	64679854	5	3	2
0a8085cd-f452-4c64-9c03-346497840b43	chr7	64682735	72096656	3	2	1
0a8085cd-f452-4c64-9c03-346497840b43	chr7	72097330	115724932	4	2	2
0a8085cd-f452-4c64-9c03-346497840b43	chr7	115728654	115754464	13	7	6
0a8085cd-f452-4c64-9c03-346497840b43	chr7	115755353	116468604	13	11	2
0a8085cd-f452-4c64-9c03-346497840b43	chr7	116469859	117622115	23	20	3
0a8085cd-f452-4c64-9c03-346497840b43	chr7	117625399	118377871	6	3	3
0a8085cd-f452-4c64-9c03-346497840b43	chr7	118378001	133503679	3	2	1
0a8085cd-f452-4c64-9c03-346497840b43	chr7	133507879	133919760	12	6	6
0a8085cd-f452-4c64-9c03-346497840b43	chr7	133921878	134207873	11	11	0
0a8085cd-f452-4c64-9c03-346497840b43	chr7	134211787	135033654	3	2	1
0a8085cd-f452-4c64-9c03-346497840b43	chr7	135035689	137769273	5	3	2
0a8085cd-f452-4c64-9c03-346497840b43	chr7	137771712	137904876	13	10	3
0a8085cd-f452-4c64-9c03-346497840b43	chr7	137906118	159334314	3	2	1
0a8085cd-f452-4c64-9c03-346497840b43	chr8	81254	43925152	2	2	0
0a8085cd-f452-4c64-9c03-346497840b43	chr8	43928841	145072769	5	3	2
0a8085cd-f452-4c64-9c03-346497840b43	chr9	46587	77843596	3	2	1
0a8085cd-f452-4c64-9c03-346497840b43	chr9	77845108	138200944	4	3	1
0a8085cd-f452-4c64-9c03-346497840b43	chr10	26823	133769379	3	2	1
0a8085cd-f452-4c64-9c03-346497840b43	chr11	198572	30319490	2	2	0
0a8085cd-f452-4c64-9c03-346497840b43	chr11	30325202	31766043	7	5	2
0a8085cd-f452-4c64-9c03-346497840b43	chr11	31767566	67818977	5	3	2
0a8085cd-f452-4c64-9c03-346497840b43	chr11	67820322	84409938	3	2	1
0a8085cd-f452-4c64-9c03-346497840b43	chr11	84410075	84562190	2	2	0
0a8085cd-f452-4c64-9c03-346497840b43	chr11	84562209	135074876	3	2	1
0a8085cd-f452-4c64-9c03-346497840b43	chr12	51460	113048725	2	2	0
0a8085cd-f452-4c64-9c03-346497840b43	chr12	113052272	133201603	3	3	0
0a8085cd-f452-4c64-9c03-346497840b43	chr13	18452809	38936346	3	2	1
0a8085cd-f452-4c64-9c03-346497840b43	chr13	38936770	66562931	1	1	0
0a8085cd-f452-4c64-9c03-346497840b43	chr13	66566335	114342922	4	2	2
0a8085cd-f452-4c64-9c03-346497840b43	chr14	18225647	106877229	4	2	2
0a8085cd-f452-4c64-9c03-346497840b43	chr15	19811075	101928837	2	1	1
0a8085cd-f452-4c64-9c03-346497840b43	chr16	10777	67356093	3	2	1
0a8085cd-f452-4c64-9c03-346497840b43	chr16	67357078	90221127	5	3	2
0a8085cd-f452-4c64-9c03-346497840b43	chr17	150733	20052955	2	2	0
0a8085cd-f452-4c64-9c03-346497840b43	chr17	20053586	22736323	2	1	1
0a8085cd-f452-4c64-9c03-346497840b43	chr17	26943385	49403291	3	2	1
0a8085cd-f452-4c64-9c03-346497840b43	chr17	49404012	51649401	5	4	1
0a8085cd-f452-4c64-9c03-346497840b43	chr17	51651639	52042380	2	1	1
0a8085cd-f452-4c64-9c03-346497840b43	chr17	52045844	83090856	4	3	1
0a8085cd-f452-4c64-9c03-346497840b43	chr18	48133	12175908	6	3	3
0a8085cd-f452-4c64-9c03-346497840b43	chr18	12179113	80257174	3	2	1
0a8085cd-f452-4c64-9c03-346497840b43	chr19	90910	24324352	3	2	1
0a8085cd-f452-4c64-9c03-346497840b43	chr19	24324365	43710377	5	3	2
0a8085cd-f452-4c64-9c03-346497840b43	chr19	43710588	58586487	4	3	1
0a8085cd-f452-4c64-9c03-346497840b43	chr20	80664	31798820	4	2	2
0a8085cd-f452-4c64-9c03-346497840b43	chr20	31803091	64324800	3	2	1
0a8085cd-f452-4c64-9c03-346497840b43	chr21	10336543	46677045	4	2	2
0a8085cd-f452-4c64-9c03-346497840b43	chr22	15294545	21487543	4	2	2
0a8085cd-f452-4c64-9c03-346497840b43	chr22	21489646	50796027	2	2	0
0a8085cd-f452-4c64-9c03-346497840b43	chrX	251810	156004181	3	2	1
